"",,,,,Previous Retail,September 2020,September 2020,September 2020,September 2020
SKU,Product Name by Product Category,Previous PV,Previous BV,Previous IBOC,,,,,
"",,,,,Price,PV,BV,IBOC,Retail Price
117649,Artistry Hydra-VTM Refreshing Eye Gel Cream,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
117652,ArtistryTM Eye & Lip Makeup Remover,6.00,18.00,18.00,24.00,5.90,18.00,18.00,20.00
117809,Artistry Ideal RadianceTM UV Protect SPF 50+,13.00,39.00,39.00,52.00,12.69,38.70,38.70,43.00
118184,Artistry Supreme LXTM Regenerating Cream,91.25,273.75,273.75,365.00,89.70,273.60,273.60,304.00
118185,Artistry Supreme LXTM Regenerating Eye Cream,48.75,146.25,146.25,195.00,48.10,146.70,146.70,163.00
118205,ArtistryTM Men Skincare System,42.52,123.52,123.52,164.70,40.37,123.12,123.12,136.80
118207,Artistry Ideal RadianceTM Illuminating CC Cream Broad Spectrum Sunscreen SPF 50 - Light Medium,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
118208,Artistry Ideal RadianceTM Illuminating CC Cream Broad Spectrum Sunscreen SPF 50 - Light,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
SKU,Product Name by Product Category,Previous PV,Previous BV,Previous IBOC,"Previous RetailPrice","September 2020PV","September 2020BV","September 2020IBOC","September 2020Retail Price"
119024,ArtistryTM Men Serum Concentrate,18.25,51.75,51.75,69.00,16.82,51.30,51.30,57.00
119336,Artistry Ideal RadianceTM Illuminating CC Cream Broad Spectrum Sunscreen SPF 50 - Medium,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
119618,Artistry Ideal RadianceTM Illuminating Foam Cleanser,10.50,31.50,31.50,42.00,10.33,31.50,31.50,35.00
119619,Artistry Ideal RadianceTM Illuminating Softening Lotion (Toner),12.00,36.00,36.00,48.00,11.80,36.00,36.00,40.00
119621,Artistry Ideal RadianceTM  Illuminating Milky Emulsion,22.00,66.00,66.00,88.00,21.54,65.70,65.70,73.00
119622,Artistry Ideal RadianceTM Illuminating Moisture Cream,20.00,60.00,60.00,80.00,19.77,60.30,60.30,67.00
119690,Artistry Ideal RadianceTM Skincare System with Milky Emulsion (lotion),40.05,120.15,120.15,160.20,39.31,119.88,119.88,133.20
119691,Artistry Ideal RadianceTM Skincare System with Moisture Cream,38.25,114.75,114.75,153.00,37.71,115.02,115.02,127.80
119881,Artistry Hydra-VTM System for Oily Skin,20.92,62.77,62.77,83.70,20.72,63.18,63.18,70.20
119882,Artistry Hydra-VTM System for Combination to Normal Skin,22.05,66.15,66.15,88.20,21.78,66.42,66.42,73.80
120227,Artistry Hydra-VTM System for Dry Skin,20.92,62.77,62.77,83.70,20.72,63.18,63.18,70.20
120524,ArtistryTM Intensive Skincare Advanced Vitamin C + HA Treatment,15.50,46.50,46.50,62.00,15.34,46.80,46.80,52.00
120560,Artistry Ideal RadianceTM Illuminating CC Cream - Medium Dark,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
120561,Artistry Ideal RadianceTM Illuminating CC Cream - Dark,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
121547,essentials by ArtistryTM Gel Cleanser,4.53,13.60,13.60,16.00,4.43,13.50,13.50,15.00
121548,essentials by ArtistryTM Light Lotion,6.52,19.55,19.55,23.00,6.49,19.80,19.80,22.00
121549,essentials by ArtistryTM Makeup Removing Wipes,3.40,10.20,10.20,12.00,3.32,10.13,10.13,11.25
121556,Artistry Signature SelectTM Hydration Amplifier,8.50,25.50,25.50,34.00,8.26,25.20,25.20,28.00
121557,Artistry Signature SelectTM Brightening Amplifier,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
121558,Artistry Signature SelectTM Anti-Wrinkle Amplifier,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
121559,Artistry Signature SelectTM Firming Amplifier,11.75,35.25,35.25,47.00,11.51,35.10,35.10,39.00
121560,Artistry Signature SelectTM Anti-Spot Amplifier,11.75,35.25,35.25,47.00,11.51,35.10,35.10,39.00
121590,essentials by ArtistryTM 2-Step Bundle,9.94,29.83,29.83,35.10,9.83,29.97,29.97,33.30
121591,essentials by ArtistryTM 3-Step Bundle,13.00,39.01,39.01,45.90,12.82,39.09,39.09,43.42
121657,essentials by ArtistryTM Anti-Acne Pore Refresher,5.53,16.58,16.58,19.50,5.46,16.65,16.65,18.50
121658,essentials by ArtistryTM Anti-Acne Gel Treatment,6.80,20.40,20.40,24.00,6.79,20.70,20.70,23.00
122162,essentials by ArtistryTM Multi-Protect Lotion SPF 30 UVA/UVB,6.52,19.55,19.55,23.00,6.49,19.80,19.80,22.00
122339,Artistry Signature SelectTM Polishing Mask,8.75,26.25,26.25,35.00,8.56,26.10,26.10,29.00
122340,Artistry Signature SelectTM Brightening Mask,10.75,32.25,32.25,43.00,10.62,32.40,32.40,36.00
122341,Artistry Signature SelectTM Firming Mask,11.50,34.50,34.50,46.00,11.21,34.20,34.20,38.00
122342,Artistry Signature SelectTM Purifying Mask,8.75,26.25,26.25,35.00,8.56,26.10,26.10,29.00
122343,Artistry Signature SelectTM Hydrating Mask,9.75,29.25,29.25,39.00,9.74,29.70,29.70,33.00
282031,Artistry Signature SelectTM Personalized Serum Kit,82.00,193.50,245.00,245.00,80.24,193.34,244.80,272.00
282076,essentials by ArtistryTM Anti-Acne Bundle,15.17,45.52,45.52,53.55,15.01,45.76,45.76,50.85
282715,Artistry Signature SelectTM Hydration Amplifier and Base Serum,18.50,55.50,55.50,74.00,18.00,54.90,54.90,61.00
282716,Artistry Signature SelectTM Brightening Amplifier and Base Serum,20.00,60.00,60.00,80.00,19.48,59.40,59.40,66.00
282717,Artistry Signature SelectTM Anti-Spot Amplifier and Base Serum,21.75,65.25,65.25,87.00,21.25,64.80,64.80,72.00
282718,Artistry Signature SelectTM Anti-Wrinkle Amplifier and Base Serum,20.00,60.00,60.00,80.00,19.48,59.40,59.40,66.00
282719,Artistry Signature SelectTM Firming Amplifier and Base Serum,21.75,65.25,65.25,87.00,21.25,64.80,64.80,72.00
288164,Artistry Youth XtendTM Power System with Lotion,58.27,174.82,174.82,233.10,57.10,174.15,174.15,193.50
288165,Artistry Youth XtendTM Power System with Cream,58.27,174.82,174.82,233.10,57.10,174.15,174.15,193.50
294419,Artistry Youth XtendTM Power System for Combination-to-Oily Skin + Artistry Signature SelectTM Anti-Spot Amplifier,68.85,206.55,206.55,275.40,67.46,205.74,205.74,228.60
294420,Artistry Youth XtendTM Power System for Combination-to-Oily Skin + Artistry Signature SelectTM Brightening Amplifier,67.27,201.82,201.82,269.10,65.87,200.88,200.88,223.20
294421,Artistry Youth XtendTM Power System for Combination-to-Oily Skin + Artistry Signature SelectTM Hydration Amplifier,65.92,197.77,197.77,263.70,64.53,196.83,196.83,218.70
294422,Artistry Youth XtendTM Power System for Normal-to-Dry Skin + Artistry Signature SelectTM Anti-Spot Amplifier,68.85,206.55,206.55,275.40,67.46,205.74,205.74,228.60
294423,Artistry Youth XtendTM Power System for Normal-to-Dry Skin + Artistry Signature SelectTM Brightening Amplifier,67.27,201.82,201.82,269.10,65.87,200.88,200.88,223.20
294424,Artistry Youth XtendTM Power System for Normal-to-Dry Skin + Artistry Signature SelectTM Hydration Amplifier,65.92,197.77,197.77,263.70,64.53,196.83,196.83,218.70
297228,Artistry Signature SelectTM Glow & Go Multi-Mask Bundle,32.00,96.00,96.00,128.00,31.57,96.30,96.30,107.00
124811,Artistry StudioTM Clean Start,New,2.51,7.65,7.65,8.50,,,
124815,Artistry StudioTM Zen Daze Ahead,New,11.21,34.20,34.20,38.00,,,
124818,Artistry StudioTM Eye Look Rested,New,8.85,27.00,27.00,30.00,,,
124813,Artistry StudioTM Rosé All Day,New,4.43,13.50,13.50,15.00,,,
124817,Artistry StudioTM Everyday I’m Bubblin’,New,4.43,13.50,13.50,15.00,,,
124368,Artistry StudioTM Soft as Silk Hand Cream Trio,New,6.64,20.25,20.25,22.50,,,
124364,Artistry StudioTM 2-in-1 Perfecting Primer - Glow Finish,New,9.44,28.80,28.80,32.00,,,
124363,Artistry StudioTM 2-in-1 Perfecting Primer - Matte Finish,New,9.44,28.80,28.80,32.00,,,
124819,Artistry StudioTM The Pampered Pout,New,5.75,17.55,17.55,19.50,,,
124812,Artistry StudioTM Glow Boss,New,4.72,14.40,14.40,16.00,,,
124814,Artistry StudioTM Hydro-Prime,New,7.38,22.50,22.50,25.00,,,
124816,Artistry StudioTM Spot On!,New,7.08,21.60,21.60,24.00,,,
COSMETICS CATEGORY,,,,,,,,,
110007,Artistry Youth XtendTM Lifting Smoothing Foundation – Chablis L1C1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110008,Artistry Youth XtendTM Lifting Smoothing Foundation – Bisque L1N1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110009,Artistry Youth XtendTM Lifting Smoothing Foundation – Buff L1W1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110010,Artistry Youth XtendTM Lifting Smoothing Foundation – Cream L1W2,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110011,Artistry Youth XtendTM Lifting Smoothing Foundation – Chiffon L2C1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110012,Artistry Youth XtendTM Lifting Smoothing Foundation – Ochre L2N1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110013,Artistry Youth XtendTM Lifting Smoothing Foundation – Natural L2N2,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110014,Artistry Youth XtendTM Lifting Smoothing Foundation – Sand L2W1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110015,Artistry Youth XtendTM Lifting Smoothing Foundation – Plush L3C1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
SKU,Product Name by Product Category,Previous PV,Previous BV,Previous IBOC,"Previous RetailPrice","September 2020PV","September 2020BV","September 2020IBOC","September 2020Retail Price"
110016,Artistry Youth XtendTM Lifting Smoothing Foundation – Tawny L3N1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110017,Artistry Youth XtendTM Lifting Smoothing Foundation – Soleil L3W1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110019,Artistry Youth XtendTM Lifting Smoothing Foundation – Golden L4N1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110020,Artistry Youth XtendTM Lifting Smoothing Foundation – Brulee L4W1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110022,Artistry Youth XtendTM Lifting Smoothing Foundation – Caramel L5N1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110023,Artistry Youth XtendTM Lifting Smoothing Foundation – Cappucino L5W1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110025,Artistry Youth XtendTM Lifting Smoothing Foundation – Walnut L6N1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110026,Artistry Youth XtendTM Lifting Smoothing Foundation – Mink L6W1,12.25,36.75,36.75,49.00,12.10,36.90,36.90,41.00
110989,ArtistryTM Automatic EyeBrow Pencil Refill – Taupe (Neutral),3.75,11.25,11.25,15.00,3.69,11.25,11.25,12.50
110990,ArtistryTM Automatic EyeBrow Pencil Refill – Brown (Neutral),3.75,11.25,11.25,15.00,3.69,11.25,11.25,12.50
110991,ArtistryTM Automatic EyeBrow Pencil Refill – Soft Black (Neutral),3.75,11.25,11.25,15.00,3.69,11.25,11.25,12.50
112141,ArtistryTM Automatic LipLiner Pencil Refill – Dusty Rose (Neutral),2.75,8.25,8.25,11.00,2.73,8.33,8.33,9.25
112142,ArtistryTM Automatic LipLiner Pencil Refill – Spiced Wine (Neutral),2.75,8.25,8.25,11.00,2.73,8.33,8.33,9.25
112145,ArtistryTM Automatic EyeBrow Pencil Holder,3.00,9.00,9.00,12.00,2.95,9.00,9.00,10.00
112146,ArtistryTM Automatic LipLiner Pencil Holder,3.00,9.00,9.00,12.00,2.95,9.00,9.00,10.00
112237,Artistry Signature Eyes Length & Definition MascaraTM,6.50,19.50,19.50,26.00,6.49,19.80,19.80,22.00
115379,Artistry Signature ColorTM Lipstick - Rich Cocoa 02,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115380,Artistry Signature ColorTM Lipstick - Bellini 03,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115383,Artistry Signature ColorTM Lipstick - Daring Red 06,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115384,Artistry Signature ColorTM Lipstick - Ballet Pink 07,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115386,Artistry Signature ColorTM Lipstick - Havana Rose 09,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115387,Artistry Signature ColorTM Lipstick - Nutmeg 10,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115389,Artistry Signature ColorTM Lipstick - Primrose 11,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115390,Artistry Signature ColorTM Lipstick - Bougainvillea 12,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115391,Artistry Signature ColorTM Lipstick - Silk Lilac 13,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115393,Artistry Signature ColorTM Lipstick - Taffeta Rose 14,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115394,Artistry Signature ColorTM Lipstick - Wild Orchid 15,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115395,Artistry Signature ColorTM Lipstick - Velvet 16,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115396,Artistry Signature ColorTM Lipstick - Crimson 17,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115397,Artistry Signature ColorTM Lipstick - Terracotta 18,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115398,Artistry Signature ColorTM Sheer Lipstick - Clear Balm 50,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115399,Artistry Signature ColorTM Sheer Lipstick - Red Kiss 51,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115400,Artistry Signature ColorTM Sheer Lipstick - Princess 52,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115401,Artistry Signature ColorTM Sheer Lipstick - Tulip Pink 53,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115404,Artistry Signature ColorTM Sheer Lipstick - Natural Pink 56,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
115405,Artistry Signature ColorTM Sheer Lipstick - Honey 57,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
116694,Artistry Exact FitTM Perfecting Loose Powder - Light,10.75,32.25,32.25,43.00,10.62,32.40,32.40,36.00
116695,Artistry Exact FitTM Perfecting Loose Powder - Medium,10.75,32.25,32.25,43.00,10.62,32.40,32.40,36.00
116696,Artistry Exact FitTM Perfecting Loose Powder - Dark,10.75,32.25,32.25,43.00,10.62,32.40,32.40,36.00
116724,Artistry Exact FitTM Powder Foundation - Chablis L1C1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116725,Artistry Exact FitTM Powder Foundation - Bisque L1N1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116726,Artistry Exact FitTM Powder Foundation - Buff L1W1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116727,Artistry Exact FitTM Powder Foundation - Cream L1W2,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116728,Artistry Exact FitTM Powder Foundation - Chiffon L2C1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116729,Artistry Exact FitTM Powder Foundation - Ochre L2N1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116730,Artistry Exact FitTM Powder Foundation - Natural L2N2,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116731,Artistry Exact FitTM Powder Foundation - Sand L2W1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116732,Artistry Exact FitTM Powder Foundation - Plush L3C1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116733,Artistry Exact FitTM Powder Foundation - Tawny L3N1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116734,Artistry Exact FitTM Powder Foundation - Soleil L3W1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116736,Artistry Exact FitTM Powder Foundation - Golden L4N1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116737,Artistry Exact FitTM Powder Foundation - Brulee L4W1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116739,Artistry Exact FitTM Powder Foundation - Caramel L5N1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116740,Artistry Exact FitTM Powder Foundation - Cappucino L5W1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116742,Artistry Exact FitTM Powder Foundation - Walnut L6N1,7.25,21.75,21.75,29.00,7.08,21.60,21.60,24.00
116744,Artistry Exact FitTM Pressed Powder  - Translucent,5.75,17.25,17.25,23.00,5.68,17.33,17.33,19.25
116745,Artistry Exact FitTM Compact,3.90,11.70,11.70,13.00,3.84,11.70,11.70,13.00
116801,Artistry Signature Eyes Volume MascaraTM,5.76,17.29,17.29,23.00,5.68,17.33,17.33,19.25
117687,Artistry Exact FitTM Longwearing Foundation – Chablis – L1C1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117688,Artistry Exact FitTM Longwearing Foundation – Bisque – L1N1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117689,Artistry Exact FitTM Longwearing Foundation – Buff – L1W1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117690,Artistry Exact FitTM Longwearing Foundation – Cream – L1W2,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117691,Artistry Exact FitTM Longwearing Foundation – Chiffon – L2C1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117692,Artistry Exact FitTM Longwearing Foundation – Ochre – L2N1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117693,Artistry Exact FitTM Longwearing Foundation – Natural – L2N2,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117694,Artistry Exact FitTM Longwearing Foundation – Sand – L2W1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117695,Artistry Exact FitTM Longwearing Foundation – Plush – L3C1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117696,Artistry Exact FitTM Longwearing Foundation – Tawny – L3N1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117697,Artistry Exact FitTM Longwearing Foundation – Soleil – L3W1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
SKU,Product Name by Product Category,Previous PV,Previous BV,Previous IBOC,"Previous RetailPrice","September 2020PV","September 2020BV","September 2020IBOC","September 2020Retail Price"
117699,Artistry Exact FitTM Longwearing Foundation – Golden – L4N1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117700,Artistry Exact FitTM Longwearing Foundation – Brulee – L4W1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117702,Artistry Exact FitTM Longwearing Foundation – Caramel – L5N1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117703,Artistry Exact FitTM Longwearing Foundation – Cappuccino – L5W1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117705,Artistry Exact FitTM Longwearing Foundation – Walnut – L6N1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
117706,Artistry Exact FitTM Longwearing Foundation – Mink – L6W1,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
118209,Artistry Exact FitTM Beauty Balm Perfecting Primer Broad Spectrum Sunscreen SPF 35,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
118393,Artistry Signature ColorTM Eye Palette Refill - Smoky,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
118394,Artistry Signature ColorTM Eye Palette Refill - Natural Glow,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
118395,Artistry Signature ColorTM Eye Palette Refill - Spice Bronze,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
118396,Artistry Signature ColorTM Eye Palette Refill - Pink Chocolate,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
118397,Artistry Signature ColorTM Eye Palette Refill - Plumberry,10.00,30.00,30.00,40.00,9.74,29.70,29.70,33.00
118398,Artistry Signature ColorTM Cheek Refill - Golden Light,5.00,15.00,15.00,20.00,4.94,15.08,15.08,16.75
118399,Artistry Signature ColorTM Cheek Refill - Peachy Pink,5.00,15.00,15.00,20.00,4.94,15.08,15.08,16.75
118400,Artistry Signature ColorTM Cheek Refil - Fresh Coral,5.00,15.00,15.00,20.00,4.94,15.08,15.08,16.75
118401,Artistry Signature ColorTM Cheek Refill - Soft Rose,5.00,15.00,15.00,20.00,4.94,15.08,15.08,16.75
118402,Artistry Signature ColorTM Cheek Refill - Sweet Pink,5.00,15.00,15.00,20.00,4.94,15.08,15.08,16.75
118403,Artistry Signature ColorTM Cheek Refill - Dusty Mauve,5.00,15.00,15.00,20.00,4.94,15.08,15.08,16.75
118404,Artistry Signature ColorTM Compact,3.90,11.70,11.70,13.00,3.84,11.70,11.70,13.00
118566,Artistry Signature ColorTM  Light Up Lip Gloss – Pink Nude,5.38,16.15,16.15,19.00,5.31,16.20,16.20,18.00
118567,Artistry Signature ColorTM  Light Up Lip Gloss – Juicy Peach,5.38,16.15,16.15,19.00,5.31,16.20,16.20,18.00
118568,Artistry Signature ColorTM  Light Up Lip Gloss – Sweet Melon,5.38,16.15,16.15,19.00,5.31,16.20,16.20,18.00
118569,Artistry Signature ColorTM  Light Up Lip Gloss – Real Red,5.38,16.15,16.15,19.00,5.31,16.20,16.20,18.00
118570,Artistry Signature ColorTM  Light Up Lip Gloss – Pink Sugar,5.38,16.15,16.15,19.00,5.31,16.20,16.20,18.00
118571,Artistry Signature ColorTM  Light Up Lip Gloss – Rose Petal,5.38,16.15,16.15,19.00,5.31,16.20,16.20,18.00
118572,Artistry Signature ColorTM  Light Up Lip Gloss – Misty Mauve,5.38,16.15,16.15,19.00,5.31,16.20,16.20,18.00
118573,Artistry Signature ColorTM  Light Up Lip Gloss – Raspberry Kiss,5.38,16.15,16.15,19.00,5.31,16.20,16.20,18.00
118921,Artistry Signature ColorTM Longwearing Eye Pencil Eye Pencil - Black,5.50,16.50,16.50,22.00,5.39,16.43,16.43,18.25
118922,Artistry Signature ColorTM Longwearing Eye Pencil Eye Pencil - Brown,5.50,16.50,16.50,22.00,5.39,16.43,16.43,18.25
118923,Artistry Signature ColorTM Longwearing Eye Pencil Eye Pencil - Graphite Shimmer,5.50,16.50,16.50,22.00,5.39,16.43,16.43,18.25
118924,Artistry Signature ColorTM Longwearing Eye Pencil Eye Pencil - Plumberry,5.50,16.50,16.50,22.00,5.39,16.43,16.43,18.25
120360,Artistry Exact FitTM Perfecting Concealer – Light,6.75,20.25,20.25,27.00,6.79,20.70,20.70,23.00
120361,Artistry Exact FitTM Perfecting Concealer - Light Medium,6.75,20.25,20.25,27.00,6.79,20.70,20.70,23.00
120362,Artistry Exact FitTM Perfecting Concealer – Medium,6.75,20.25,20.25,27.00,6.79,20.70,20.70,23.00
120363,Artistry Exact FitTM Perfecting Concealer – Medium Deep,6.75,20.25,20.25,27.00,6.79,20.70,20.70,23.00
120364,Artistry Exact FitTM Perfecting Concealer – Deep/Very Deep,6.75,20.25,20.25,27.00,6.79,20.70,20.70,23.00
120365,Artistry Exact FitTM Perfecting Concealer – Brightener,6.75,20.25,20.25,27.00,6.79,20.70,20.70,23.00
120435,Artistry Signature ColorTM Lipstick - Coral Sunrise 19,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
120471,Artistry Signature ColorTM Longwearing Liquid Liner – Black,6.50,19.50,19.50,26.00,6.49,19.80,19.80,22.00
120872,Artistry StudioTM Lash Boosting 3-in-1 Mascara,6.50,19.50,19.50,26.00,6.49,19.80,19.80,22.00
121131,Artistry Hydra-VTM Sheer Weightless Foundation – Chablis,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
121132,Artistry Hydra-VTM Sheer Weightless Foundation – Bisque,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
121133,Artistry Hydra-VTM Sheer Weightless Foundation – Buff,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
121135,Artistry Hydra-VTM Sheer Weightless Foundation – Chiffon,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
121136,Artistry Hydra-VTM Sheer Weightless Foundation – Ochre,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
121138,Artistry Hydra-VTM Sheer Weightless Foundation – Sand,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
121139,Artistry Hydra-VTM Sheer Weightless Foundation – Plush,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
121140,Artistry Hydra-VTM Sheer Weightless Foundation – Tawny,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
121141,Artistry Hydra-VTM Sheer Weightless Foundation – Soleil,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
121142,Artistry Hydra-VTM Sheer Weightless Foundation – Golden,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
121143,Artistry Hydra-VTM Sheer Weightless Foundation – Carmel,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
121144,Artistry Hydra-VTM Sheer Weightless Foundation – Walnut,11.00,33.00,33.00,44.00,10.92,33.30,33.30,37.00
122096,Artistry StudioTM 2-in-1 Eye Stick- Tribeca Teal,6.50,19.50,19.50,26.00,6.49,19.80,19.80,22.00
122097,Artistry StudioTM 2-in-1 Eye Stick- Urban safari,6.50,19.50,19.50,26.00,6.49,19.80,19.80,22.00
122098,Artistry StudioTM 2-in-1 Eye Stick- Brooklyn Brown,6.50,19.50,19.50,26.00,6.49,19.80,19.80,22.00
122099,Artistry StudioTM Illuminating Light Up Compact,8.75,26.25,26.25,35.00,8.56,26.10,26.10,29.00
123025,Artistry StudioTM Lipstick Crayon Rose Goddess,5.75,17.25,17.25,23.00,5.68,17.33,17.33,19.25
123026,Artistry StudioTM Lipstick Crayon Ruby Goddess,5.75,17.25,17.25,23.00,5.68,17.33,17.33,19.25
123027,Artistry StudioTM Lipstick Crayon Spiced Goddess,5.75,17.25,17.25,23.00,5.68,17.33,17.33,19.25
123028,Artistry StudioTM Lipstick Crayon Sunset Goddess,5.75,17.25,17.25,23.00,5.68,17.33,17.33,19.25
123029,Artistry StudioTM Lipstick Crayon Fuchsia Goddes,5.75,17.25,17.25,23.00,5.68,17.33,17.33,19.25
123030,Artistry StudioTM FA19 Essential Oil Balm,5.75,17.25,17.25,23.00,5.68,17.33,17.33,19.25
123031,Artistry StudioTM Shimmering Eyeshadow Gold Crus,5.75,17.25,17.25,23.00,5.68,17.33,17.33,19.25
123032,Artistry StudioTM Shimmering Eyeshadow Smoky Nig,5.75,17.25,17.25,23.00,5.68,17.33,17.33,19.25
123033,Artistry StudioTM Shimmering Eyeshadow Silver Vi,5.75,17.25,17.25,23.00,5.68,17.33,17.33,19.25
123034,Artistry StudioTM Kajal Pencil Emerald Garden,6.50,19.50,19.50,26.00,6.49,19.80,19.80,22.00
123035,Artistry StudioTM Kajal Pencil Gilded Amethyst,6.50,19.50,19.50,26.00,6.49,19.80,19.80,22.00
123037,Artistry StudioTM Face & Body Shimmer Gel,7.50,22.50,22.50,30.00,7.38,22.50,22.50,25.00
123038,Artistry StudioTM Mascara Base Primer,4.50,13.50,13.50,18.00,4.43,13.50,13.50,15.00
